signal_id,week,workflow_id,source,customer_account,theme,user_need,volume,severity,confidence,product_interpretation
SIG-001,2026-W13,MHA007,Partner QBR,Evergreen Community Care,Referral dead end,Patient had a route but the clinic could not accept the referral.,35,4,0.86,Treat as triage evidence for Assessment completion recovery.
SIG-002,2026-W17,MHA003,Partner QBR,Metro Access Clinic,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",9,9,0.65,Treat as roadmap input for US clinic launch readiness checklist.
SIG-003,2026-W15,MHA008,Mixpanel cohort readout,Pacific Youth Counseling,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",6,9,0.65,Treat as roadmap input for Mixpanel event taxonomy repair.
SIG-004,2026-W10,MHA009,User interview,Pacific Youth Counseling,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",30,9,0.72,Treat as roadmap input for CS bug and scope intake triage.
SIG-005,2026-W07,MHA002,Mixpanel cohort readout,Pacific Youth Counseling,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,35,3,0.59,Treat as triage evidence for Therapy referral capacity matching.
SIG-006,2026-W07,MHA002,Customer success note,Metro Access Clinic,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,4,7,0.72,Treat as roadmap input for Therapy referral capacity matching.
SIG-007,2026-W17,MHA001,Support ticket,Heartland Therapy Network,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,28,4,0.67,Treat as triage evidence for Digital self-referral intake routing.
SIG-008,2026-W13,MHA004,Partner QBR,Metro Access Clinic,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,8,6,0.85,Treat as triage evidence for Referral status sync into partner EHR.
SIG-009,2026-W18,MHA001,Mixpanel cohort readout,Pacific Youth Counseling,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,5,3,0.8,Treat as triage evidence for Digital self-referral intake routing.
SIG-010,2026-W10,MHA006,Customer success note,Pacific Youth Counseling,Event name drift,PM could not compare funnel steps across partner launches.,24,8,0.7,Treat as roadmap input for Clinic admin referral queue.
SIG-011,2026-W14,MHA005,Customer success note,Pacific Youth Counseling,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,29,7,0.82,Treat as roadmap input for Crisis keyword escalation loop.
SIG-012,2026-W13,MHA009,User interview,Evergreen Community Care,Assessment pause anxiety,Patient did not know whether answers were saved after pausing intake.,40,8,0.72,Treat as roadmap input for CS bug and scope intake triage.
SIG-013,2026-W17,MHA009,Partner QBR,Heartland Therapy Network,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",34,3,0.92,Treat as triage evidence for CS bug and scope intake triage.
SIG-014,2026-W18,MHA007,Partner QBR,Heartland Therapy Network,Event name drift,PM could not compare funnel steps across partner launches.,29,5,0.59,Treat as triage evidence for Assessment completion recovery.
SIG-015,2026-W10,MHA003,User interview,Canyon County Mental Health,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,19,7,0.83,Treat as roadmap input for US clinic launch readiness checklist.
SIG-016,2026-W16,MHA003,User interview,Evergreen Community Care,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",16,9,0.6,Treat as roadmap input for US clinic launch readiness checklist.
SIG-017,2026-W10,MHA008,Partner QBR,Pacific Youth Counseling,Event name drift,PM could not compare funnel steps across partner launches.,22,3,0.93,Treat as triage evidence for Mixpanel event taxonomy repair.
SIG-018,2026-W17,MHA009,User interview,Pacific Youth Counseling,Assessment pause anxiety,Patient did not know whether answers were saved after pausing intake.,34,4,0.82,Treat as triage evidence for CS bug and scope intake triage.
SIG-019,2026-W14,MHA006,Partner QBR,Metro Access Clinic,Assessment pause anxiety,Patient did not know whether answers were saved after pausing intake.,29,7,0.9,Treat as roadmap input for Clinic admin referral queue.
SIG-020,2026-W16,MHA002,User interview,Pacific Youth Counseling,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,39,9,0.65,Treat as roadmap input for Therapy referral capacity matching.
SIG-021,2026-W16,MHA008,User interview,Canyon County Mental Health,Referral dead end,Patient had a route but the clinic could not accept the referral.,12,9,0.94,Treat as roadmap input for Mixpanel event taxonomy repair.
SIG-022,2026-W18,MHA004,Customer success note,Northeast Behavioral Health,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",6,5,0.7,Treat as triage evidence for Referral status sync into partner EHR.
SIG-023,2026-W11,MHA002,Partner QBR,Evergreen Community Care,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,18,6,0.84,Treat as triage evidence for Therapy referral capacity matching.
SIG-024,2026-W12,MHA008,Mixpanel cohort readout,Heartland Therapy Network,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,18,3,0.61,Treat as triage evidence for Mixpanel event taxonomy repair.
SIG-025,2026-W13,MHA009,User interview,Canyon County Mental Health,Referral dead end,Patient had a route but the clinic could not accept the referral.,8,4,0.62,Treat as triage evidence for CS bug and scope intake triage.
SIG-026,2026-W18,MHA003,User interview,Evergreen Community Care,Assessment pause anxiety,Patient did not know whether answers were saved after pausing intake.,37,6,0.68,Treat as triage evidence for US clinic launch readiness checklist.
SIG-027,2026-W15,MHA007,Customer success note,Heartland Therapy Network,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",34,9,0.92,Treat as roadmap input for Assessment completion recovery.
SIG-028,2026-W12,MHA003,Partner QBR,Northeast Behavioral Health,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,18,7,0.72,Treat as roadmap input for US clinic launch readiness checklist.
SIG-029,2026-W16,MHA005,User interview,Metro Access Clinic,Event name drift,PM could not compare funnel steps across partner launches.,23,3,0.85,Treat as triage evidence for Crisis keyword escalation loop.
SIG-030,2026-W08,MHA004,Partner QBR,Canyon County Mental Health,Referral dead end,Patient had a route but the clinic could not accept the referral.,38,7,0.75,Treat as roadmap input for Referral status sync into partner EHR.
SIG-031,2026-W09,MHA005,Mixpanel cohort readout,Heartland Therapy Network,Event name drift,PM could not compare funnel steps across partner launches.,17,7,0.63,Treat as roadmap input for Crisis keyword escalation loop.
SIG-032,2026-W09,MHA004,Mixpanel cohort readout,Pacific Youth Counseling,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,8,5,0.86,Treat as triage evidence for Referral status sync into partner EHR.
SIG-033,2026-W15,MHA008,Mixpanel cohort readout,Northeast Behavioral Health,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,13,5,0.83,Treat as triage evidence for Mixpanel event taxonomy repair.
SIG-034,2026-W18,MHA003,Support ticket,Northeast Behavioral Health,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,33,5,0.87,Treat as triage evidence for US clinic launch readiness checklist.
SIG-035,2026-W09,MHA002,Support ticket,Northeast Behavioral Health,Referral dead end,Patient had a route but the clinic could not accept the referral.,41,9,0.87,Treat as roadmap input for Therapy referral capacity matching.
SIG-036,2026-W09,MHA002,Mixpanel cohort readout,Heartland Therapy Network,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,4,9,0.89,Treat as roadmap input for Therapy referral capacity matching.
SIG-037,2026-W15,MHA002,Support ticket,Metro Access Clinic,Referral dead end,Patient had a route but the clinic could not accept the referral.,9,9,0.66,Treat as roadmap input for Therapy referral capacity matching.
SIG-038,2026-W09,MHA007,Support ticket,Canyon County Mental Health,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,16,8,0.6,Treat as roadmap input for Assessment completion recovery.
SIG-039,2026-W16,MHA005,Partner QBR,Heartland Therapy Network,Referral dead end,Patient had a route but the clinic could not accept the referral.,27,3,0.91,Treat as triage evidence for Crisis keyword escalation loop.
SIG-040,2026-W15,MHA001,User interview,Evergreen Community Care,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,22,4,0.65,Treat as triage evidence for Digital self-referral intake routing.
SIG-041,2026-W14,MHA006,Partner QBR,Canyon County Mental Health,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,16,8,0.89,Treat as roadmap input for Clinic admin referral queue.
SIG-042,2026-W16,MHA007,User interview,Northeast Behavioral Health,Assessment pause anxiety,Patient did not know whether answers were saved after pausing intake.,26,6,0.82,Treat as triage evidence for Assessment completion recovery.
SIG-043,2026-W17,MHA007,User interview,Metro Access Clinic,Referral dead end,Patient had a route but the clinic could not accept the referral.,17,4,0.89,Treat as triage evidence for Assessment completion recovery.
SIG-044,2026-W16,MHA008,Customer success note,Pacific Youth Counseling,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",32,5,0.92,Treat as triage evidence for Mixpanel event taxonomy repair.
SIG-045,2026-W09,MHA006,Customer success note,Pacific Youth Counseling,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,41,3,0.82,Treat as triage evidence for Clinic admin referral queue.
SIG-046,2026-W16,MHA007,Mixpanel cohort readout,Metro Access Clinic,Referral dead end,Patient had a route but the clinic could not accept the referral.,14,5,0.88,Treat as triage evidence for Assessment completion recovery.
SIG-047,2026-W09,MHA005,Mixpanel cohort readout,Pacific Youth Counseling,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,37,6,0.92,Treat as triage evidence for Crisis keyword escalation loop.
SIG-048,2026-W09,MHA001,Customer success note,Evergreen Community Care,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,4,9,0.92,Treat as roadmap input for Digital self-referral intake routing.
SIG-049,2026-W12,MHA002,Partner QBR,Pacific Youth Counseling,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",31,5,0.7,Treat as triage evidence for Therapy referral capacity matching.
SIG-050,2026-W09,MHA005,Mixpanel cohort readout,Heartland Therapy Network,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,14,4,0.66,Treat as triage evidence for Crisis keyword escalation loop.
SIG-051,2026-W17,MHA001,Mixpanel cohort readout,Evergreen Community Care,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",36,4,0.64,Treat as triage evidence for Digital self-referral intake routing.
SIG-052,2026-W10,MHA009,Mixpanel cohort readout,Northeast Behavioral Health,Referral dead end,Patient had a route but the clinic could not accept the referral.,32,8,0.6,Treat as roadmap input for CS bug and scope intake triage.
SIG-053,2026-W15,MHA003,Mixpanel cohort readout,Metro Access Clinic,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,4,3,0.82,Treat as triage evidence for US clinic launch readiness checklist.
SIG-054,2026-W14,MHA001,Partner QBR,Pacific Youth Counseling,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,36,7,0.85,Treat as roadmap input for Digital self-referral intake routing.
SIG-055,2026-W16,MHA006,User interview,Pacific Youth Counseling,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,16,5,0.83,Treat as triage evidence for Clinic admin referral queue.
SIG-056,2026-W13,MHA006,Customer success note,Canyon County Mental Health,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,34,8,0.67,Treat as roadmap input for Clinic admin referral queue.
SIG-057,2026-W15,MHA002,Partner QBR,Pacific Youth Counseling,Assessment pause anxiety,Patient did not know whether answers were saved after pausing intake.,18,8,0.9,Treat as roadmap input for Therapy referral capacity matching.
SIG-058,2026-W15,MHA009,Mixpanel cohort readout,Pacific Youth Counseling,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",13,9,0.72,Treat as roadmap input for CS bug and scope intake triage.
SIG-059,2026-W13,MHA004,User interview,Heartland Therapy Network,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,17,5,0.79,Treat as triage evidence for Referral status sync into partner EHR.
SIG-060,2026-W16,MHA002,Customer success note,Evergreen Community Care,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",29,7,0.6,Treat as roadmap input for Therapy referral capacity matching.
SIG-061,2026-W07,MHA006,Customer success note,Metro Access Clinic,Assessment pause anxiety,Patient did not know whether answers were saved after pausing intake.,18,3,0.82,Treat as triage evidence for Clinic admin referral queue.
SIG-062,2026-W13,MHA007,User interview,Heartland Therapy Network,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",35,8,0.84,Treat as roadmap input for Assessment completion recovery.
SIG-063,2026-W07,MHA009,User interview,Pacific Youth Counseling,Assessment pause anxiety,Patient did not know whether answers were saved after pausing intake.,29,3,0.68,Treat as triage evidence for CS bug and scope intake triage.
SIG-064,2026-W13,MHA006,Partner QBR,Metro Access Clinic,Assessment pause anxiety,Patient did not know whether answers were saved after pausing intake.,16,3,0.71,Treat as triage evidence for Clinic admin referral queue.
SIG-065,2026-W11,MHA004,Partner QBR,Heartland Therapy Network,Assessment pause anxiety,Patient did not know whether answers were saved after pausing intake.,38,7,0.62,Treat as roadmap input for Referral status sync into partner EHR.
SIG-066,2026-W11,MHA003,Partner QBR,Northeast Behavioral Health,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,33,5,0.77,Treat as triage evidence for US clinic launch readiness checklist.
SIG-067,2026-W07,MHA009,Partner QBR,Northeast Behavioral Health,Event name drift,PM could not compare funnel steps across partner launches.,30,9,0.75,Treat as roadmap input for CS bug and scope intake triage.
SIG-068,2026-W10,MHA004,User interview,Metro Access Clinic,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",32,6,0.66,Treat as triage evidence for Referral status sync into partner EHR.
SIG-069,2026-W13,MHA009,Mixpanel cohort readout,Canyon County Mental Health,Event name drift,PM could not compare funnel steps across partner launches.,24,3,0.66,Treat as triage evidence for CS bug and scope intake triage.
SIG-070,2026-W10,MHA005,Customer success note,Heartland Therapy Network,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,37,6,0.77,Treat as triage evidence for Crisis keyword escalation loop.
SIG-071,2026-W09,MHA006,User interview,Pacific Youth Counseling,Event name drift,PM could not compare funnel steps across partner launches.,5,8,0.77,Treat as roadmap input for Clinic admin referral queue.
SIG-072,2026-W08,MHA002,Customer success note,Heartland Therapy Network,Referral dead end,Patient had a route but the clinic could not accept the referral.,10,9,0.63,Treat as roadmap input for Therapy referral capacity matching.
