item_id,created_week,workflow_id,item_type,severity,customer_account,users_impacted,root_cause,engineering_focus_cost,noise_risk,triage_score,decision,owner,follow_up
IN-001,2026-W14,MHA004,Scope addition,Low,Canyon County Mental Health,164,manual handoff break,13,19,27.1,Say no with rationale,Integrations Engineering,Add to sprint review decision log
IN-002,2026-W16,MHA008,CS ask,Medium,Metro Access Clinic,669,instrumentation gap,28,3,63.4,Merge into epic,Analytics Engineering,Wait for second customer signal
IN-003,2026-W11,MHA003,Data debt,Critical,Evergreen Community Care,539,instrumentation gap,21,7,84.6,Ship next,Product Ops,Wait for second customer signal
IN-004,2026-W09,MHA006,Partner request,High,Heartland Therapy Network,978,partner configuration drift,16,26,74.6,Merge into epic,Portal Engineering,Send CS-facing rationale and workaround
IN-005,2026-W16,MHA008,Data debt,Medium,Metro Access Clinic,182,instrumentation gap,19,2,39.8,Route to owner,Analytics Engineering,Send CS-facing rationale and workaround
IN-006,2026-W15,MHA006,Data debt,Medium,Canyon County Mental Health,64,instrumentation gap,11,12,31.4,Route to owner,Portal Engineering,Convert into acceptance criteria
IN-007,2026-W16,MHA007,Partner request,Medium,Evergreen Community Care,240,manual handoff break,28,38,31.4,Route to owner,Growth Product,Convert into acceptance criteria
IN-008,2026-W15,MHA006,Bug,Medium,Heartland Therapy Network,921,manual handoff break,13,15,65.5,Merge into epic,Portal Engineering,Convert into acceptance criteria
IN-009,2026-W15,MHA004,Partner request,High,Evergreen Community Care,576,manual handoff break,21,23,74.4,Merge into epic,Integrations Engineering,Convert into acceptance criteria
IN-010,2026-W09,MHA001,Bug,High,Northeast Behavioral Health,389,instrumentation gap,4,24,68.8,Merge into epic,Access PM + Intake Engineering,Convert into acceptance criteria
IN-011,2026-W10,MHA002,Partner request,Low,Heartland Therapy Network,295,manual handoff break,3,40,35.7,Route to owner,Marketplace Product,Send CS-facing rationale and workaround
IN-012,2026-W17,MHA001,Bug,High,Canyon County Mental Health,1030,manual handoff break,17,5,80.6,Merge into epic,Access PM + Intake Engineering,Wait for second customer signal
IN-013,2026-W13,MHA001,Partner request,High,Evergreen Community Care,756,EHR mapping mismatch,19,29,74.7,Merge into epic,Access PM + Intake Engineering,Add to sprint review decision log
IN-014,2026-W16,MHA004,Partner request,High,Pacific Youth Counseling,451,manual handoff break,15,36,65.8,Merge into epic,Integrations Engineering,Wait for second customer signal
IN-015,2026-W16,MHA003,Scope addition,Medium,Heartland Therapy Network,339,partner configuration drift,22,21,45.0,Say no with rationale,Product Ops,Send CS-facing rationale and workaround
IN-016,2026-W13,MHA008,Bug,Low,Evergreen Community Care,629,EHR mapping mismatch,19,10,54.9,Merge into epic,Analytics Engineering,Convert into acceptance criteria
IN-017,2026-W07,MHA003,Bug,Low,Heartland Therapy Network,258,edge-case prompt behavior,3,15,37.1,Route to owner,Product Ops,Wait for second customer signal
IN-018,2026-W10,MHA006,Data debt,Medium,Heartland Therapy Network,398,unclear acceptance criteria,27,10,50.1,Merge into epic,Portal Engineering,Send CS-facing rationale and workaround
IN-019,2026-W11,MHA007,CS ask,Critical,Northeast Behavioral Health,692,instrumentation gap,23,7,84.6,Ship next,Growth Product,Wait for second customer signal
IN-020,2026-W09,MHA001,Bug,Low,Canyon County Mental Health,527,instrumentation gap,5,23,55.9,Merge into epic,Access PM + Intake Engineering,Convert into acceptance criteria
IN-021,2026-W16,MHA005,Data debt,Medium,Northeast Behavioral Health,377,unclear acceptance criteria,7,11,56.8,Merge into epic,Clinical Product + ML,Pair PM and engineer for 30-minute scope review
IN-022,2026-W15,MHA009,Data debt,Low,Northeast Behavioral Health,546,stale capacity signal,24,20,49.8,Merge into epic,Product Ops,Convert into acceptance criteria
IN-023,2026-W18,MHA004,Bug,Critical,Northeast Behavioral Health,137,unclear acceptance criteria,14,17,57.2,Ship next,Integrations Engineering,Convert into acceptance criteria
IN-024,2026-W15,MHA007,CS ask,High,Northeast Behavioral Health,697,EHR mapping mismatch,6,3,82.2,Merge into epic,Growth Product,Pair PM and engineer for 30-minute scope review
IN-025,2026-W11,MHA006,Scope addition,Low,Northeast Behavioral Health,763,instrumentation gap,19,22,51.7,Say no with rationale,Portal Engineering,Send CS-facing rationale and workaround
IN-026,2026-W17,MHA002,CS ask,Critical,Heartland Therapy Network,609,partner configuration drift,25,19,83.5,Ship next,Marketplace Product,Add to sprint review decision log
IN-027,2026-W08,MHA002,Bug,High,Canyon County Mental Health,837,EHR mapping mismatch,27,5,76.6,Merge into epic,Marketplace Product,Add to sprint review decision log
IN-028,2026-W10,MHA005,Data debt,Medium,Canyon County Mental Health,687,stale capacity signal,5,20,68.6,Merge into epic,Clinical Product + ML,Convert into acceptance criteria
IN-029,2026-W09,MHA007,Data debt,Low,Heartland Therapy Network,855,manual handoff break,21,20,50.6,Merge into epic,Growth Product,Add to sprint review decision log
IN-030,2026-W18,MHA003,Bug,Medium,Pacific Youth Counseling,99,partner configuration drift,19,4,32.7,Route to owner,Product Ops,Send CS-facing rationale and workaround
IN-031,2026-W14,MHA007,Partner request,High,Canyon County Mental Health,521,EHR mapping mismatch,23,16,70.6,Merge into epic,Growth Product,Pair PM and engineer for 30-minute scope review
IN-032,2026-W14,MHA006,CS ask,High,Northeast Behavioral Health,168,manual handoff break,4,23,51.4,Merge into epic,Portal Engineering,Pair PM and engineer for 30-minute scope review
IN-033,2026-W09,MHA005,CS ask,Critical,Evergreen Community Care,847,manual handoff break,8,9,91.8,Ship next,Clinical Product + ML,Send CS-facing rationale and workaround
IN-034,2026-W11,MHA002,Data debt,Medium,Metro Access Clinic,182,edge-case prompt behavior,10,16,40.5,Route to owner,Marketplace Product,Wait for second customer signal
IN-035,2026-W08,MHA004,Bug,High,Heartland Therapy Network,921,EHR mapping mismatch,22,23,74.0,Merge into epic,Integrations Engineering,Pair PM and engineer for 30-minute scope review
IN-036,2026-W15,MHA005,Scope addition,High,Evergreen Community Care,630,EHR mapping mismatch,25,26,72.9,Merge into epic,Clinical Product + ML,Convert into acceptance criteria
IN-037,2026-W18,MHA009,CS ask,Medium,Pacific Youth Counseling,544,stale capacity signal,3,8,69.7,Merge into epic,Product Ops,Add to sprint review decision log
IN-038,2026-W07,MHA001,Scope addition,Medium,Evergreen Community Care,757,manual handoff break,10,24,66.3,Merge into epic,Access PM + Intake Engineering,Add to sprint review decision log
IN-039,2026-W14,MHA004,CS ask,High,Heartland Therapy Network,382,EHR mapping mismatch,23,20,61.6,Merge into epic,Integrations Engineering,Send CS-facing rationale and workaround
IN-040,2026-W15,MHA002,Bug,Medium,Pacific Youth Counseling,349,unclear acceptance criteria,25,5,49.6,Merge into epic,Marketplace Product,Wait for second customer signal
IN-041,2026-W13,MHA002,CS ask,Low,Pacific Youth Counseling,78,EHR mapping mismatch,4,10,26.5,Route to owner,Marketplace Product,Wait for second customer signal
IN-042,2026-W09,MHA002,Data debt,Critical,Heartland Therapy Network,750,instrumentation gap,24,22,83.2,Ship next,Marketplace Product,Convert into acceptance criteria
IN-043,2026-W11,MHA002,Data debt,Medium,Metro Access Clinic,176,instrumentation gap,9,11,41.6,Route to owner,Marketplace Product,Add to sprint review decision log
IN-044,2026-W12,MHA008,Bug,High,Pacific Youth Counseling,705,manual handoff break,10,3,82.3,Merge into epic,Analytics Engineering,Add to sprint review decision log
IN-045,2026-W08,MHA001,Partner request,High,Metro Access Clinic,218,unclear acceptance criteria,14,11,56.0,Merge into epic,Access PM + Intake Engineering,Convert into acceptance criteria
IN-046,2026-W15,MHA002,Bug,Medium,Metro Access Clinic,684,edge-case prompt behavior,10,19,66.9,Merge into epic,Marketplace Product,Add to sprint review decision log
IN-047,2026-W16,MHA008,CS ask,Critical,Metro Access Clinic,21,partner configuration drift,6,9,53.1,Ship next,Analytics Engineering,Send CS-facing rationale and workaround
IN-048,2026-W07,MHA003,Partner request,Medium,Evergreen Community Care,648,partner configuration drift,25,34,56.9,Merge into epic,Product Ops,Add to sprint review decision log
IN-049,2026-W12,MHA008,Data debt,Low,Canyon County Mental Health,288,stale capacity signal,26,7,33.7,Route to owner,Analytics Engineering,Wait for second customer signal
IN-050,2026-W07,MHA008,Partner request,High,Metro Access Clinic,660,partner configuration drift,28,16,73.1,Merge into epic,Analytics Engineering,Convert into acceptance criteria
IN-051,2026-W08,MHA004,CS ask,High,Canyon County Mental Health,1081,stale capacity signal,9,13,80.8,Merge into epic,Integrations Engineering,Pair PM and engineer for 30-minute scope review
IN-052,2026-W13,MHA004,CS ask,High,Northeast Behavioral Health,256,instrumentation gap,5,21,58.7,Merge into epic,Integrations Engineering,Convert into acceptance criteria
IN-053,2026-W12,MHA008,Scope addition,Medium,Heartland Therapy Network,1083,edge-case prompt behavior,16,9,66.3,Merge into epic,Analytics Engineering,Wait for second customer signal
IN-054,2026-W12,MHA003,Bug,High,Canyon County Mental Health,534,instrumentation gap,15,22,73.8,Merge into epic,Product Ops,Add to sprint review decision log
IN-055,2026-W17,MHA005,Bug,Medium,Canyon County Mental Health,458,unclear acceptance criteria,25,15,55.4,Merge into epic,Clinical Product + ML,Add to sprint review decision log
IN-056,2026-W10,MHA002,CS ask,High,Heartland Therapy Network,23,partner configuration drift,16,18,39.2,Route to owner,Marketplace Product,Add to sprint review decision log
IN-057,2026-W18,MHA003,CS ask,Medium,Pacific Youth Counseling,531,stale capacity signal,12,15,63.5,Merge into epic,Product Ops,Pair PM and engineer for 30-minute scope review
IN-058,2026-W16,MHA006,CS ask,High,Metro Access Clinic,386,manual handoff break,15,13,65.4,Merge into epic,Portal Engineering,Wait for second customer signal
IN-059,2026-W07,MHA007,Scope addition,Low,Pacific Youth Counseling,1062,edge-case prompt behavior,18,10,53.8,Say no with rationale,Growth Product,Add to sprint review decision log
IN-060,2026-W13,MHA009,Partner request,Medium,Heartland Therapy Network,930,edge-case prompt behavior,19,17,63.3,Merge into epic,Product Ops,Convert into acceptance criteria
IN-061,2026-W16,MHA008,Partner request,Medium,Metro Access Clinic,335,unclear acceptance criteria,9,32,47.6,Route to owner,Analytics Engineering,Wait for second customer signal
IN-062,2026-W15,MHA009,Bug,High,Heartland Therapy Network,244,EHR mapping mismatch,7,5,60.1,Merge into epic,Product Ops,Convert into acceptance criteria
IN-063,2026-W11,MHA005,Scope addition,Critical,Metro Access Clinic,682,partner configuration drift,13,37,83.9,Ship next,Clinical Product + ML,Add to sprint review decision log
IN-064,2026-W18,MHA009,Data debt,High,Metro Access Clinic,400,edge-case prompt behavior,25,5,65.0,Merge into epic,Product Ops,Add to sprint review decision log
IN-065,2026-W12,MHA009,Scope addition,Low,Northeast Behavioral Health,1038,unclear acceptance criteria,17,32,50.6,Say no with rationale,Product Ops,Send CS-facing rationale and workaround
IN-066,2026-W09,MHA004,Partner request,Critical,Heartland Therapy Network,557,edge-case prompt behavior,17,14,86.8,Ship next,Integrations Engineering,Pair PM and engineer for 30-minute scope review
IN-067,2026-W07,MHA008,Data debt,High,Pacific Youth Counseling,289,stale capacity signal,5,17,61.6,Merge into epic,Analytics Engineering,Add to sprint review decision log
IN-068,2026-W09,MHA005,Bug,Medium,Pacific Youth Counseling,922,manual handoff break,10,3,70.6,Merge into epic,Clinical Product + ML,Add to sprint review decision log
IN-069,2026-W09,MHA003,Scope addition,Medium,Metro Access Clinic,983,EHR mapping mismatch,8,18,66.4,Merge into epic,Product Ops,Wait for second customer signal
IN-070,2026-W12,MHA009,Scope addition,Low,Heartland Therapy Network,419,EHR mapping mismatch,6,9,49.4,Say no with rationale,Product Ops,Wait for second customer signal
IN-071,2026-W07,MHA009,Scope addition,High,Evergreen Community Care,643,unclear acceptance criteria,26,28,71.0,Merge into epic,Product Ops,Wait for second customer signal
IN-072,2026-W18,MHA005,Data debt,High,Heartland Therapy Network,252,stale capacity signal,9,10,60.0,Merge into epic,Clinical Product + ML,Send CS-facing rationale and workaround
IN-073,2026-W09,MHA002,Data debt,Low,Northeast Behavioral Health,931,unclear acceptance criteria,24,13,53.2,Merge into epic,Marketplace Product,Send CS-facing rationale and workaround
IN-074,2026-W13,MHA005,Scope addition,High,Northeast Behavioral Health,751,partner configuration drift,24,19,74.8,Merge into epic,Clinical Product + ML,Pair PM and engineer for 30-minute scope review
IN-075,2026-W11,MHA002,Data debt,Medium,Northeast Behavioral Health,882,instrumentation gap,10,12,68.4,Merge into epic,Marketplace Product,Add to sprint review decision log
IN-076,2026-W18,MHA004,Bug,Medium,Metro Access Clinic,449,EHR mapping mismatch,14,19,57.2,Merge into epic,Integrations Engineering,Send CS-facing rationale and workaround
IN-077,2026-W18,MHA009,Scope addition,High,Metro Access Clinic,851,stale capacity signal,14,38,73.0,Merge into epic,Product Ops,Add to sprint review decision log
IN-078,2026-W07,MHA008,Partner request,Medium,Northeast Behavioral Health,121,partner configuration drift,28,25,27.2,Route to owner,Analytics Engineering,Add to sprint review decision log
IN-079,2026-W11,MHA008,Scope addition,High,Canyon County Mental Health,605,manual handoff break,20,31,72.6,Merge into epic,Analytics Engineering,Wait for second customer signal
IN-080,2026-W15,MHA005,Bug,High,Pacific Youth Counseling,24,instrumentation gap,9,2,45.5,Route to owner,Clinical Product + ML,Add to sprint review decision log
IN-081,2026-W16,MHA004,CS ask,Medium,Metro Access Clinic,260,instrumentation gap,27,11,40.9,Route to owner,Integrations Engineering,Convert into acceptance criteria
IN-082,2026-W15,MHA008,CS ask,High,Metro Access Clinic,722,stale capacity signal,11,6,81.3,Merge into epic,Analytics Engineering,Send CS-facing rationale and workaround
IN-083,2026-W12,MHA005,Bug,High,Metro Access Clinic,517,instrumentation gap,6,5,81.1,Merge into epic,Clinical Product + ML,Add to sprint review decision log
IN-084,2026-W13,MHA004,Bug,High,Canyon County Mental Health,928,EHR mapping mismatch,8,10,81.8,Merge into epic,Integrations Engineering,Add to sprint review decision log
IN-085,2026-W18,MHA007,Partner request,Critical,Canyon County Mental Health,799,stale capacity signal,23,19,82.0,Ship next,Growth Product,Pair PM and engineer for 30-minute scope review
IN-086,2026-W16,MHA009,Bug,High,Canyon County Mental Health,191,stale capacity signal,11,16,52.5,Merge into epic,Product Ops,Wait for second customer signal
IN-087,2026-W11,MHA004,Bug,Medium,Pacific Youth Counseling,626,unclear acceptance criteria,15,4,68.1,Merge into epic,Integrations Engineering,Convert into acceptance criteria
IN-088,2026-W14,MHA003,Data debt,Medium,Metro Access Clinic,14,EHR mapping mismatch,15,8,27.1,Route to owner,Product Ops,Send CS-facing rationale and workaround
IN-089,2026-W13,MHA007,Bug,Critical,Northeast Behavioral Health,574,instrumentation gap,15,13,86.1,Ship next,Growth Product,Pair PM and engineer for 30-minute scope review
IN-090,2026-W16,MHA009,Bug,Low,Canyon County Mental Health,680,stale capacity signal,16,24,52.7,Merge into epic,Product Ops,Add to sprint review decision log
IN-091,2026-W18,MHA001,Partner request,Critical,Pacific Youth Counseling,404,edge-case prompt behavior,13,11,78.8,Ship next,Access PM + Intake Engineering,Convert into acceptance criteria
IN-092,2026-W13,MHA004,Partner request,Medium,Pacific Youth Counseling,226,EHR mapping mismatch,28,23,35.5,Route to owner,Integrations Engineering,Pair PM and engineer for 30-minute scope review
IN-093,2026-W14,MHA001,Bug,Low,Canyon County Mental Health,650,manual handoff break,24,16,53.1,Merge into epic,Access PM + Intake Engineering,Pair PM and engineer for 30-minute scope review
IN-094,2026-W07,MHA002,CS ask,Critical,Northeast Behavioral Health,344,instrumentation gap,4,2,79.1,Ship next,Marketplace Product,Send CS-facing rationale and workaround
IN-095,2026-W11,MHA003,Scope addition,Medium,Canyon County Mental Health,1006,manual handoff break,9,16,66.5,Merge into epic,Product Ops,Wait for second customer signal
IN-096,2026-W13,MHA008,Data debt,High,Canyon County Mental Health,192,instrumentation gap,15,7,53.4,Merge into epic,Analytics Engineering,Add to sprint review decision log
